topic,term,beta
1,park,0.0075622905927668
1,national,0.007061758302083539
1,people,0.0065272272307197055
1,visitors,0.00438888162814209
1,world,0.004103117669907936
1,tourism,0.00381622663867321
1,tourists,0.0028938801745283793
1,history,0.0027653772071870183
1,parks,0.002653953837805835
1,american,0.0026513846919980705
2,tourism,0.022025548421319822
2,travel,0.019923336813016015
2,international,0.006422697615367416
2,global,0.005810138516042054
2,travelers,0.005712398134690254
2,industry,0.005684580668061728
2,united,0.005472260628870774
2,data,0.005420031716226963
2,market,0.005211305921703407
2,world,0.004742556154191857
3,city,0.011308266499517392
3,beach,0.006778277039338514
3,visit,0.005860886652244036
3,park,0.005205195118318083
3,travel,0.005052303059875695
3,town,0.004382371841191871
3,cities,0.004216129182696539
3,it’s,0.00421332335011347
3,time,0.003995338086199359
3,beaches,0.0037382446056636338
4,medical,0.017381396547141704
4,travel,0.011430634339514537
4,tourism,0.009476106045994238
4,care,0.009396071346854138
4,mexico,0.008340075191433906
4,health,0.007394160784184819
4,healthcare,0.006427898364678012
4,patients,0.005871631521453633
4,advisory,0.005782110568514249
4,crime,0.005586554531731039
5,tourism,0.026624344880575843
5,travel,0.022969370256710944
5,international,0.012902664440062146
5,visitors,0.010687318754260145
5,canada,0.008925869363170755
5,canadian,0.007939557141977482
5,tourists,0.007546272282037505
5,billion,0.007434389278679431
5,million,0.006822063869084965
5,united,0.006625734819715393
6,travel,0.021016908044157765
6,united,0.007801885220943432
6,visa,0.006983319973236354
6,countries,0.006948407220952825
6,covid,0.005914785743301209
6,travelers,0.0058141006865521944
6,country,0.00556457543505819
6,people,0.005064953013939317
6,news,0.004637316924480066
6,government,0.004224294323512176
